ID;Fichier;Ligne;XPath;Catégorie;Priorité;Message du validateur;Action
OBS-001;737.xml;38;/fdm_config/metrics/location[1];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-002;737.xml;43;/fdm_config/metrics/location[2];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-003;737.xml;48;/fdm_config/metrics/location[3];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-004;737.xml;63;/fdm_config/mass_balance/location;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-005;ah1s.xml;77;/fdm_config/metrics/location[1];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-006;ah1s.xml;82;/fdm_config/metrics/location[2];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-007;ah1s.xml;87;/fdm_config/metrics/location[3];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-008;ah1s.xml;101;/fdm_config/mass_balance/location;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-009;c172-rev2.xml;27;/fdm_config/metrics/wingarea;Donnée non numérique;P1 — donnée à corriger;value doesn't match any pattern of ['(\\+|-)?([0-9]+(\\.[0-9]*)?|\\.[0-9]+)([Ee](\\+|-)?[0-9]+)?|INF|-INF|NaN'];Faire confirmer la surface alaire par le responsable de la donnée, corriger puis revalider.
OBS-010;c172-rev2.xml;27;/fdm_config/metrics/wingarea;Donnée non numérique;P1 — donnée à corriger;value doesn't match any pattern of ['(\\+|-)?([0-9]+(\\.[0-9]*)?|\\.[0-9]+)([Ee](\\+|-)?[0-9]+)?|INF|-INF|NaN'];Faire confirmer la surface alaire par le responsable de la donnée, corriger puis revalider.
OBS-011;c172-rev2.xml;27;/fdm_config/metrics/wingarea;Donnée non numérique;P1 — donnée à corriger;could not convert string to float: 'TBD-confirm-with-engineering';Faire confirmer la surface alaire par le responsable de la donnée, corriger puis revalider.
OBS-012;c172-rev2.xml;34;/fdm_config/metrics/location[1];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-013;c172-rev2.xml;39;/fdm_config/metrics/location[2];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-014;c172-rev2.xml;44;/fdm_config/metrics/location[3];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-015;c172-rev2.xml;59;/fdm_config/mass_balance/location;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-016;c172-rev2.xml;401;/fdm_config/aerodynamics/alphalimits;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;The content of element 'alphalimits' is not complete.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-017;c172-rev2.xml;406;/fdm_config/aerodynamics/hysteresis_limits;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;The content of element 'hysteresis_limits' is not complete.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-018;c172p.xml;34;/fdm_config/metrics/location[1];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-019;c172p.xml;39;/fdm_config/metrics/location[2];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-020;c172p.xml;44;/fdm_config/metrics/location[3];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-021;c172p.xml;59;/fdm_config/mass_balance/location;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-022;c172p.xml;401;/fdm_config/aerodynamics/alphalimits;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;The content of element 'alphalimits' is not complete.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-023;c172p.xml;406;/fdm_config/aerodynamics/hysteresis_limits;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;The content of element 'hysteresis_limits' is not complete.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-024;Concorde.xml;412;/fdm_config/metrics/location[1];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-025;Concorde.xml;417;/fdm_config/metrics/location[2];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-026;Concorde.xml;422;/fdm_config/metrics/location[3];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-027;Concorde.xml;443;/fdm_config/mass_balance/location;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-028;Concorde.xml;1333;/fdm_config/aerodynamics/alphalimits;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'max' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-029;f16.xml;44;/fdm_config/metrics/location[1];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-030;f16.xml;49;/fdm_config/metrics/location[2];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-031;f16.xml;54;/fdm_config/metrics/location[3];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-032;f16.xml;69;/fdm_config/mass_balance/location;Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
OBS-033;MD11.xml;34;/fdm_config/metrics/location[1];Compatibilité schéma/source;P2 — contrat XSD à arbitrer;Unexpected child with tag 'z' at position 3.;Vérifier la compatibilité du XSD et de la version source avant de modifier les XML.
