Véhicule;Catégorie;Envergure (m);Surface alaire (m²);Masse à vide (kg);Moteurs;Fichiers parcourus
737;aircraft;28.86456;108.78946;37648.16671;2;3
A320;aircraft;33.92424;122.353304;50348.75307;2;3
C130;aircraft;40.386;285.229055;47627.19885;4;3
Concorde;aircraft;25.551384;358.234122;78698.276195;4;3
F450;unmanned;0.127;0.016129;1.4;4;13
MD11;aircraft;51.6636;338.91029;171593.993571;3;3
Submarine_Scout;lighter-than-air;9.1;65.0;733.5;1;8
XB-70;aircraft;32.004;585.103346;136077.711;6;3
ah1s;rotorcraft;3.2766;1.54219;3855.535145;2;10
c172p;aircraft;10.91184;16.165129;680.388555;1;3
dr1;aircraft;7.199376;18.702311;405.965171;1;4
f16;aircraft;9.144;27.870912;7892.507238;1;5
p51d;aircraft;11.30808;21.832214;3231.845636;1;11
paraglider;aircraft;8.8392;20.438669;4.535924;1;4
weather-balloon;lighter-than-air;1.88976;0.91045;0.8;0;1
wrightFlyer1903;aircraft;12.292584;47.38055;197.312681;1;3
x24b;spacecraft;5.7912;30.704455;3855.535145;1;3
