vehicule_id;emplacement;moteur_id
737;engine-0;ENG-0001
737;engine-1;ENG-0001
A320;engine-0;ENG-0002
A320;engine-1;ENG-0002
C130;engine-0;ENG-0003
C130;engine-1;ENG-0003
C130;engine-2;ENG-0003
C130;engine-3;ENG-0003
Concorde;engine-0;ENG-0004
Concorde;engine-1;ENG-0004
Concorde;engine-2;ENG-0004
Concorde;engine-3;ENG-0004
F450;engine-0;ENG-0005
F450;engine-1;ENG-0005
F450;engine-2;ENG-0005
F450;engine-3;ENG-0005
MD11;engine-0;ENG-0006
MD11;engine-1;ENG-0006
MD11;engine-2;ENG-0006
Submarine_Scout;engine-0;ENG-0007
XB-70;engine-0;ENG-0008
XB-70;engine-1;ENG-0008
XB-70;engine-2;ENG-0008
XB-70;engine-3;ENG-0008
XB-70;engine-4;ENG-0008
XB-70;engine-5;ENG-0008
ah1s;engine-0;ENG-0009
ah1s;engine-1;ENG-0010
c172p;engine-0;ENG-0011
dr1;engine-0;ENG-0012
f16;engine-0;ENG-0013
p51d;engine-0;ENG-0014
paraglider;engine-0;ENG-0015
wrightFlyer1903;engine-0;ENG-0016
x24b;engine-0;ENG-0017
