id;modele;type;propulseur;fichier_source
ENG-0001;CFM56;turbine;direct;engine/CFM56.xml
ENG-0002;CFM56_5;turbine;direct;engine/CFM56_5.xml
ENG-0003;t56;turbine;t56_prop;engine/t56.xml
ENG-0004;Olympus593Mrk610;turbine;direct;engine/Olympus593Mrk610.xml
ENG-0005;DJI_E305;electric;DJI_9450;engine/DJI_E305.xml
ENG-0006;CF6-80C2;turbine;direct;engine/CF6-80C2.xml
ENG-0007;eng_RRhawk;piston;prop_SSZ;engine/eng_RRhawk.xml
ENG-0008;YJ93-GE-3;turbine;direct;engine/YJ93-GE-3.xml
ENG-0009;electric_1500hp;electric;ah1s_rotor;aircraft/ah1s/Engines/electric_1500hp.xml
ENG-0010;electric_1hp_dummy;electric;ah1s_tail_rotor;aircraft/ah1s/Engines/electric_1hp_dummy.xml
ENG-0011;eng_io320;piston;prop_75in2f;engine/eng_io320.xml
ENG-0012;Oberursel-UrII;piston;Dr1_propeller;engine/Oberursel-UrII.xml
ENG-0013;F100-PW-229;turbine;direct;engine/F100-PW-229.xml
ENG-0014;Packard-V-1650-7;piston;P51prop;aircraft/p51d/Engines/Packard-V-1650-7.xml
ENG-0015;Polini_THOR80;piston;DT_Propeller;aircraft/paraglider/Engines/Polini_THOR80.xml
ENG-0016;wright1903_engine;piston;wright1903_propellers;engine/wright1903_engine.xml
ENG-0017;XLR99;rocket;xlr99_nozzle;engine/XLR99.xml
