Véhicule;Source;Élément;Référence;Cible;Statut
737;aircraft/737/737.xml;engine;CFM56;engine/CFM56.xml;resolved
737;aircraft/737/737.xml;thruster;direct;engine/direct.xml;resolved
737;aircraft/737/737.xml;engine;CFM56;engine/CFM56.xml;resolved
737;aircraft/737/737.xml;thruster;direct;engine/direct.xml;resolved
A320;aircraft/A320/A320.xml;engine;CFM56_5;engine/CFM56_5.xml;resolved
A320;aircraft/A320/A320.xml;thruster;direct;engine/direct.xml;resolved
A320;aircraft/A320/A320.xml;engine;CFM56_5;engine/CFM56_5.xml;resolved
A320;aircraft/A320/A320.xml;thruster;direct;engine/direct.xml;resolved
C130;aircraft/C130/C130.xml;engine;t56;engine/t56.xml;resolved
C130;aircraft/C130/C130.xml;thruster;t56_prop;engine/t56_prop.xml;resolved
C130;aircraft/C130/C130.xml;engine;t56;engine/t56.xml;resolved
C130;aircraft/C130/C130.xml;thruster;t56_prop;engine/t56_prop.xml;resolved
C130;aircraft/C130/C130.xml;engine;t56;engine/t56.xml;resolved
C130;aircraft/C130/C130.xml;thruster;t56_prop;engine/t56_prop.xml;resolved
C130;aircraft/C130/C130.xml;engine;t56;engine/t56.xml;resolved
C130;aircraft/C130/C130.xml;thruster;t56_prop;engine/t56_prop.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;engine;Olympus593Mrk610;engine/Olympus593Mrk610.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;thruster;direct;engine/direct.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;engine;Olympus593Mrk610;engine/Olympus593Mrk610.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;thruster;direct;engine/direct.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;engine;Olympus593Mrk610;engine/Olympus593Mrk610.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;thruster;direct;engine/direct.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;engine;Olympus593Mrk610;engine/Olympus593Mrk610.xml;resolved
Concorde;aircraft/Concorde/Concorde.xml;thruster;direct;engine/direct.xml;resolved
F450;aircraft/F450/F450.xml;metrics;Metrics.xml;aircraft/F450/Metrics.xml;resolved
F450;aircraft/F450/F450.xml;mass_balance;Mass.xml;aircraft/F450/Mass.xml;resolved
F450;aircraft/F450/F450.xml;ground_reactions;Gear.xml;aircraft/F450/Gear.xml;resolved
F450;aircraft/F450/F450.xml;propulsion;Propulsion.xml;aircraft/F450/Propulsion.xml;resolved
F450;aircraft/F450/F450.xml;system;Effectors.xml;aircraft/F450/Effectors.xml;resolved
F450;aircraft/F450/F450.xml;flight_control;FlightControl.xml;aircraft/F450/FlightControl.xml;resolved
F450;aircraft/F450/F450.xml;system;SensorImu.xml;systems/SensorImu.xml;resolved
F450;aircraft/F450/F450.xml;system;SensorBaro.xml;systems/SensorBaro.xml;resolved
F450;aircraft/F450/F450.xml;system;SensorGps.xml;systems/SensorGps.xml;resolved
F450;aircraft/F450/F450.xml;aerodynamics;Aero.xml;aircraft/F450/Aero.xml;resolved
F450;aircraft/F450/Propulsion.xml;engine;DJI_E305;engine/DJI_E305.xml;resolved
F450;aircraft/F450/Propulsion.xml;thruster;DJI_9450;engine/DJI_9450.xml;resolved
F450;aircraft/F450/Propulsion.xml;engine;DJI_E305;engine/DJI_E305.xml;resolved
F450;aircraft/F450/Propulsion.xml;thruster;DJI_9450;engine/DJI_9450.xml;resolved
F450;aircraft/F450/Propulsion.xml;engine;DJI_E305;engine/DJI_E305.xml;resolved
F450;aircraft/F450/Propulsion.xml;thruster;DJI_9450;engine/DJI_9450.xml;resolved
F450;aircraft/F450/Propulsion.xml;engine;DJI_E305;engine/DJI_E305.xml;resolved
F450;aircraft/F450/Propulsion.xml;thruster;DJI_9450;engine/DJI_9450.xml;resolved
MD11;aircraft/MD11/MD11.xml;engine;CF6-80C2;engine/CF6-80C2.xml;resolved
MD11;aircraft/MD11/MD11.xml;thruster;direct;engine/direct.xml;resolved
MD11;aircraft/MD11/MD11.xml;engine;CF6-80C2;engine/CF6-80C2.xml;resolved
MD11;aircraft/MD11/MD11.xml;thruster;direct;engine/direct.xml;resolved
MD11;aircraft/MD11/MD11.xml;engine;CF6-80C2;engine/CF6-80C2.xml;resolved
MD11;aircraft/MD11/MD11.xml;thruster;direct;engine/direct.xml;resolved
Submarine_Scout;aircraft/Submarine_Scout/Submarine_Scout.xml;engine;eng_RRhawk;engine/eng_RRhawk.xml;resolved
Submarine_Scout;aircraft/Submarine_Scout/Submarine_Scout.xml;thruster;prop_SSZ;engine/prop_SSZ.xml;resolved
Submarine_Scout;aircraft/Submarine_Scout/Submarine_Scout.xml;system;Submarine_Scout_crew_ap;aircraft/Submarine_Scout/Systems/Submarine_Scout_crew_ap.xml;resolved
Submarine_Scout;aircraft/Submarine_Scout/Submarine_Scout.xml;system;air-and-gas-control;aircraft/Submarine_Scout/Systems/air-and-gas-control.xml;resolved
Submarine_Scout;aircraft/Submarine_Scout/Submarine_Scout.xml;system;visual-reference-point-extensions;systems/visual-reference-point-extensions.xml;resolved
Submarine_Scout;aircraft/Submarine_Scout/Submarine_Scout.xml;system;airship_added_mass;systems/airship_added_mass.xml;resolved
Submarine_Scout;aircraft/Submarine_Scout/Submarine_Scout.xml;aerodynamics;Systems/gerris_aero;aircraft/Submarine_Scout/Systems/gerris_aero.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;engine;YJ93-GE-3;engine/YJ93-GE-3.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;thruster;direct;engine/direct.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;engine;YJ93-GE-3;engine/YJ93-GE-3.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;thruster;direct;engine/direct.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;engine;YJ93-GE-3;engine/YJ93-GE-3.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;thruster;direct;engine/direct.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;engine;YJ93-GE-3;engine/YJ93-GE-3.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;thruster;direct;engine/direct.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;engine;YJ93-GE-3;engine/YJ93-GE-3.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;thruster;direct;engine/direct.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;engine;YJ93-GE-3;engine/YJ93-GE-3.xml;resolved
XB-70;aircraft/XB-70/XB-70.xml;thruster;direct;engine/direct.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;engine;electric_1500hp;aircraft/ah1s/Engines/electric_1500hp.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;thruster;ah1s_rotor;aircraft/ah1s/Engines/ah1s_rotor.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;engine;electric_1hp_dummy;aircraft/ah1s/Engines/electric_1hp_dummy.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;thruster;ah1s_tail_rotor;aircraft/ah1s/Engines/ah1s_tail_rotor.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;system;rpm_governor;systems/rpm_governor.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;system;rotor_control;aircraft/ah1s/Systems/rotor_control.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;system;afcs;systems/afcs.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;system;steady_flight_data;aircraft/ah1s/Systems/steady_flight_data.xml;resolved
ah1s;aircraft/ah1s/ah1s.xml;system;trim_control;aircraft/ah1s/Systems/trim_control.xml;resolved
c172p;aircraft/c172p/c172p.xml;engine;eng_io320;engine/eng_io320.xml;resolved
c172p;aircraft/c172p/c172p.xml;thruster;prop_75in2f;engine/prop_75in2f.xml;resolved
dr1;aircraft/dr1/dr1.xml;engine;Oberursel-UrII;engine/Oberursel-UrII.xml;resolved
