vehicule;categorie;nombre_moteurs;modeles
XB-70;aircraft;6;YJ93-GE-3
C130;aircraft;4;t56
Concorde;aircraft;4;Olympus593Mrk610
F450;unmanned;4;DJI_E305
MD11;aircraft;3;CF6-80C2
737;aircraft;2;CFM56
A320;aircraft;2;CFM56_5
ah1s;rotorcraft;2;electric_1500hp,electric_1hp_dummy
Submarine_Scout;lighter-than-air;1;eng_RRhawk
c172p;aircraft;1;eng_io320
dr1;aircraft;1;Oberursel-UrII
f16;aircraft;1;F100-PW-229
p51d;aircraft;1;Packard-V-1650-7
paraglider;aircraft;1;Polini_THOR80
wrightFlyer1903;aircraft;1;wright1903_engine
x24b;spacecraft;1;XLR99
weather-balloon;lighter-than-air;0;
