vehicle_id;canonical_field;source_file;source_xpath;transformation;source_unit;output_unit;raw_value;output_value;status
737;/Product/Identity/ProductId;;;derive:vehicle_id;;;;737;ok
737;/Product/Identity/Name;aircraft/737/737.xml;/fdm_config/@name;trim;;;737;737;ok
737;/Product/Identity/Category;;;derive:category_override;;;;aircraft;ok
737;/Product/Identity/Description;aircraft/737/737.xml;/fdm_config/fileheader/description/text();trim;;;Models a Boeing 737.;Models a Boeing 737.;ok
737;/Product/Dimensions/WingArea;aircraft/737/737.xml;/fdm_config/metrics/wingarea/text();unit_convert(FT2->M2);FT2;M2;1171.00;108.78946;ok
737;/Product/Dimensions/WingSpan;aircraft/737/737.xml;/fdm_config/metrics/wingspan/text();unit_convert(FT->M);FT;M;94.70;28.86456;ok
737;/Product/Dimensions/Chord;aircraft/737/737.xml;/fdm_config/metrics/chord/text();unit_convert(FT->M);FT;M;12.31;3.752088;ok
737;/Product/Dimensions/HorizontalTailArea;aircraft/737/737.xml;/fdm_config/metrics/htailarea/text();unit_convert(FT2->M2);FT2;M2;348.00;32.330258;ok
737;/Product/Dimensions/VerticalTailArea;aircraft/737/737.xml;/fdm_config/metrics/vtailarea/text();unit_convert(FT2->M2);FT2;M2;297.00;27.592203;ok
737;/Product/Mass/EmptyWeight;aircraft/737/737.xml;/fdm_config/mass_balance/emptywt/text();unit_convert(LBS->KG);LBS;KG;83000;37648.16671;ok
737;/Product/Mass/MomentOfInertia/Ixx;aircraft/737/737.xml;/fdm_config/mass_balance/ixx/text();unit_convert(SLUG*FT2->KG*M2);SLUG*FT2;KG*M2;562000;761969.6879;ok
737;/Product/Mass/MomentOfInertia/Iyy;aircraft/737/737.xml;/fdm_config/mass_balance/iyy/text();unit_convert(SLUG*FT2->KG*M2);SLUG*FT2;KG*M2;1.473e+06;1997119.84035;ok
