id;nom;categorie;envergure_m;surface_alaire_m2;masse_vide_kg;fichier_source
737;737;aircraft;28.86456;108.78946;37648.16671;aircraft/737/737.xml
A320;A320-200;aircraft;33.92424;122.353304;50348.75307;aircraft/A320/A320.xml
C130;C130;aircraft;40.386;285.229055;47627.19885;aircraft/C130/C130.xml
Concorde;Aerospatiale/BAC Concorde;aircraft;25.551384;358.234122;78698.276195;aircraft/Concorde/Concorde.xml
F450;F450;unmanned;0.127;0.016129;1.4;aircraft/F450/F450.xml
MD11;MD11;aircraft;51.6636;338.91029;171593.993571;aircraft/MD11/MD11.xml
Submarine_Scout;SubmarineScout;lighter-than-air;9.1;65.0;733.5;aircraft/Submarine_Scout/Submarine_Scout.xml
XB-70;XB-70;aircraft;32.004;585.103346;136077.711;aircraft/XB-70/XB-70.xml
ah1s;ah1s-jsbsim;rotorcraft;3.2766;1.54219;3855.535145;aircraft/ah1s/ah1s.xml
c172p;c172;aircraft;10.91184;16.165129;680.388555;aircraft/c172p/c172p.xml
dr1;Fokker Dr.1;aircraft;7.199376;18.702311;405.965171;aircraft/dr1/dr1.xml
f16;General Dynamics F-16A;aircraft;9.144;27.870912;7892.507238;aircraft/f16/f16.xml
p51d;P-51D (JSBSim);aircraft;11.30808;21.832214;3231.845636;aircraft/p51d/p51d.xml
paraglider;paraglider;aircraft;8.8392;20.438669;4.535924;aircraft/paraglider/paraglider.xml
weather-balloon;Weather Balloon;lighter-than-air;1.88976;0.91045;0.8;aircraft/weather-balloon/weather-balloon.xml
wrightFlyer1903;wrightFlyer1903;aircraft;12.292584;47.38055;197.312681;aircraft/wrightFlyer1903/wrightFlyer1903.xml
x24b;X-24B;spacecraft;5.7912;30.704455;3855.535145;aircraft/x24b/x24b.xml
