Identifiant;Modèle Odoo;Champs;Références statiques
decimal_payment;decimal.precision;name, digits;
action_open_settings;ir.actions.act_window;name, res_model, view_mode, context;
account_tag_operating;account.account.tag;name, applicability;
account_tag_financing;account.account.tag;name, applicability;
account_tag_investing;account.account.tag;name, applicability;
account_payment_term_immediate;account.payment.term;name, note, line_ids;
account_payment_term_15days;account.payment.term;name, note, line_ids;
account_payment_term_21days;account.payment.term;name, note, line_ids;
account_payment_term_30days;account.payment.term;name, note, line_ids;
account_payment_term_45days;account.payment.term;name, note, line_ids;
account_payment_term_end_following_month;account.payment.term;name, note, line_ids;
account_payment_term_30_days_end_month_the_10;account.payment.term;name, note, line_ids;
account_payment_term_advance_60days;account.payment.term;name, note, line_ids;
account_payment_term_30days_early_discount;account.payment.term;name, note, display_on_invoice, early_discount, discount_percentage, discount_days, line_ids;
account_payment_term_90days_on_the_10th;account.payment.term;name, note, line_ids;
mt_invoice_validated;mail.message.subtype;name, res_model, default, description;
mt_invoice_paid;mail.message.subtype;name, res_model, default, description;
mt_invoice_created;mail.message.subtype;name, res_model, default, hidden, description;
account_payment_method_manual_in;account.payment.method;name, code, payment_type;
account_payment_method_manual_out;account.payment.method;name, code, payment_type;
model_account_move_action_share;ir.actions.server;name, model_id, binding_model_id, binding_view_types, state, code;account.model_account_move, account.model_account_move
