Identifiant;Modèle;Format;Fichier;Position
account.decimal_payment;decimal.precision;XML;addons/account/data/account_data.xml;(//record)[1]
account.action_open_settings;ir.actions.act_window;XML;addons/account/data/account_data.xml;(//record)[2]
account.account_tag_operating;account.account.tag;XML;addons/account/data/account_data.xml;(//record)[3]
account.account_tag_financing;account.account.tag;XML;addons/account/data/account_data.xml;(//record)[4]
account.account_tag_investing;account.account.tag;XML;addons/account/data/account_data.xml;(//record)[5]
account.account_payment_term_immediate;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[6]
account.account_payment_term_15days;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[7]
account.account_payment_term_21days;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[8]
account.account_payment_term_30days;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[9]
account.account_payment_term_45days;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[10]
account.account_payment_term_end_following_month;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[11]
account.account_payment_term_30_days_end_month_the_10;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[12]
account.account_payment_term_advance_60days;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[13]
account.account_payment_term_30days_early_discount;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[14]
account.account_payment_term_90days_on_the_10th;account.payment.term;XML;addons/account/data/account_data.xml;(//record)[15]
account.mt_invoice_validated;mail.message.subtype;XML;addons/account/data/account_data.xml;(//record)[16]
account.mt_invoice_paid;mail.message.subtype;XML;addons/account/data/account_data.xml;(//record)[17]
account.mt_invoice_created;mail.message.subtype;XML;addons/account/data/account_data.xml;(//record)[18]
account.account_payment_method_manual_in;account.payment.method;XML;addons/account/data/account_data.xml;(//record)[19]
account.account_payment_method_manual_out;account.payment.method;XML;addons/account/data/account_data.xml;(//record)[20]
account.model_account_move_action_share;ir.actions.server;XML;addons/account/data/account_data.xml;(//record)[21]
account.incoterm_EXW;account.incoterms;XML;addons/account/data/account_incoterms_data.xml;(//record)[1]
account.incoterm_FCA;account.incoterms;XML;addons/account/data/account_incoterms_data.xml;(//record)[2]
account.incoterm_FAS;account.incoterms;XML;addons/account/data/account_incoterms_data.xml;(//record)[3]
account.incoterm_FOB;account.incoterms;XML;addons/account/data/account_incoterms_data.xml;(//record)[4]
account.incoterm_CFR;account.incoterms;XML;addons/account/data/account_incoterms_data.xml;(//record)[5]
account.incoterm_CIF;account.incoterms;XML;addons/account/data/account_incoterms_data.xml;(//record)[6]
